"Risk_ID,Risk_Title,Risk_Description,Risk_Category,Sub_Category,Sector,Department_Unit,Project_Name,Project_Code,Project_Phase,Process_Group,Risk_Owner,Stakeholder_Group,Date_Identified,Probability_Rating,Impact_Rating,Risk_Score,Qualitative_Notes,Quantitative_Notes,Mitigation_Strategy,Contingency_Plan,Risk_Status,Review_Date,Monitoring_Method,Control_Method,Documentation_Link,Lessons_Learned,Source_Type,Data_Quality_Flag,RMS_Step_Primary,RMS_Step_Identification,RMS_Step_Analysis_Qualitative,RMS_Step_Analysis_Quantitative,RMS_Step_Response_Planning,RMS_Step_Monitoring,RMS_Step_Controlling,RMS_Step_Documentation"
"CS053,Unsecured Dev Secrets,Secrets stored in environment files,Cybersecurity,DevSecOps,Technology,Engineering,SecretScan Initiative,SS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,4,4,16,Secrets found in .env files,Access to production APIs,Use secret vaults and CI/CD scanning,Remove secrets and rotate credentials,Open,2025-10-01,Code Logs,Secrets Management Policy,https://secretscan/docs/cs053,Train devs on secure config practices,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS054,Unsecured Cloud Storage,Storage bucket publicly accessible,Cybersecurity,Cloud Security,Technology,Cloud Operations,BucketGuard Program,BG-2025,Execution,Monitoring,Cloud Operations Lead,All Departments,2025-09-24,4,4,16,Bucket lacks access restrictions,Sensitive files exposed,Enforce bucket policies and access controls,Restrict access and notify data owners,Open,2025-10-01,Storage Logs,Cloud Access Policy,https://bucketguard/docs/cs054,Scan buckets for public exposure weekly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS055,Unsecured Dev Endpoint,Debug endpoints exposed in production,Cybersecurity,Application Security,Technology,Engineering,DebugShield Project,DS-2025,Execution,Monitoring,App Security Lead,Engineering Team,2025-09-24,3,4,12,Debug routes accessible externally,Remote code execution risk,Disable debug endpoints in production,Patch and monitor access logs,Open,2025-10-01,App Logs,Endpoint Control Policy,https://debugshield/docs/cs055,Enforce endpoint whitelisting,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS056,Unsecured Dev Dashboard,Admin dashboard lacks login controls,Cybersecurity,Application Security,Technology,Engineering,DashSecure Program,DS-2025,Execution,Controlling,App Security Lead,Engineering Team,2025-09-24,3,4,12,Admin panel accessible without auth,Privilege escalation risk,Implement authentication and role checks,Restrict access and notify dev team,Open,2025-10-01,Dashboard Logs,Access Control Policy,https://dashsecure/docs/cs056,Audit dashboard access monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS057,Unsecured Dev Build,Build artifacts contain sensitive data,Cybersecurity,DevSecOps,Technology,Engineering,BuildGuard Initiative,BG-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Secrets embedded in build output,Unauthorized access to credentials,Scan builds for sensitive content,Rebuild and rotate secrets,Open,2025-10-01,Build Logs,Build Policy,https://buildguard/docs/cs057,Use clean build environments,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS058,Unsecured Dev Test Data,Real data used in test environments,Cybersecurity,Data Protection,Technology,Engineering,TestDataSecure Program,TDS-2025,Design,Monitoring,QA Lead,Engineering Team,2025-09-24,3,4,12,PII found in test logs,Data leakage risk,Use synthetic or anonymized test data,Purge test environments and notify compliance,Open,2025-10-01,Test Logs,Data Masking Policy,https://testdatasecure/docs/cs058,Train QA on data handling,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS059,Unsecured Dev Access,Shared credentials used in dev tools,Cybersecurity,Identity & Access,Technology,Engineering,DevAccessGuard Program,DAG-2025,Execution,Controlling,Security Analyst,Engineering Team,2025-09-24,3,4,12,Multiple users share tool credentials,No audit trail,Enforce individual accounts and access logging,Reset credentials and notify users,Open,2025-10-01,Access Logs,Credential Policy,https://devaccessguard/docs/cs059,Audit dev tool access quarterly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS060,Unsecured Dev Monitoring,Monitoring tools lack alert thresholds,Cybersecurity,Monitoring Failure,Technology,Engineering,MonitorSecure Program,MS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Critical events not triggering alerts,Delayed incident response,Configure alert thresholds and escalation paths,Manual log review and alert setup,Open,2025-10-01,Monitoring Logs,Alert Policy,https://monitorsecure/docs/cs060,Test alert logic monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS061,Unsecured Dev Logs,Logs contain sensitive information,Cybersecurity,Monitoring Failure,Technology,Engineering,LogGuard Initiative,LG-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,PII and credentials found in logs,Data leakage risk,Implement log sanitization and access controls,Purge sensitive logs and notify compliance,Open,2025-10-01,Log Files,Log Management Policy,https://logguard/docs/cs061,Train devs on secure logging practices,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS062,Unsecured Dev API,Internal APIs lack authentication,Cybersecurity,Application Security,Technology,Engineering,APISecure Program,AS-2025,Execution,Monitoring,App Security Lead,Engineering Team,2025-09-24,3,4,12,Internal APIs accessible without tokens,Unauthorized access risk,Enforce API authentication and rate limiting,Disable exposed endpoints and rotate keys,Open,2025-10-01,API Logs,API Gateway Policy,https://apisecure/docs/cs062,Audit internal APIs monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS063,Unsecured Dev Email,Test emails sent to real users,Cybersecurity,Data Protection,Technology,Engineering,EmailGuard Program,EG-2025,Execution,Monitoring,QA Lead,Engineering Team,2025-09-24,3,3,9,Test emails contain internal content,Brand reputation risk,Use sandbox email environments,Disable test email triggers and notify users,Open,2025-10-01,Email Logs,Email Testing Policy,https://emailguard/docs/cs063,Restrict email domains in test environments,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS064,Unsecured Dev Analytics,Analytics tools expose internal metrics,Cybersecurity,Data Protection,Technology,Engineering,InsightGuard Program,IG-2025,Execution,Monitoring,Analytics Lead,Engineering Team,2025-09-24,3,4,12,Internal dashboards accessible externally,Exposure of KPIs and forecasts,Restrict dashboard access and enforce auth,Disable public links and notify stakeholders,Open,2025-10-01,Analytics Logs,Dashboard Access Policy,https://insightguard/docs/cs064,Audit analytics permissions monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS065,Unsecured Dev Proxy,Proxy misconfiguration exposes internal services,Cybersecurity,Network Security,Technology,Engineering,ProxySecure Program,PS-2025,Execution,Monitoring,Network Engineer,Engineering Team,2025-09-24,3,4,12,Proxy forwards requests to internal endpoints,Unauthorized access risk,Restrict proxy rules and enforce ACLs,Reconfigure proxy and monitor traffic,Open,2025-10-01,Proxy Logs,Proxy Configuration Policy,https://proxysecure/docs/cs065,Audit proxy rules quarterly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS066,Unsecured Dev CI/CD,CI/CD pipeline lacks access controls,Cybersecurity,DevSecOps,Technology,Engineering,PipelineGuard Initiative,PG-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Build jobs triggered without authentication,Unauthorized code deployment risk,Enforce CI/CD access policies and audit logs,Restrict pipeline triggers and notify team,Open,2025-10-01,Pipeline Logs,CI/CD Access Policy,https://pipelineguard/docs/cs066,Review pipeline permissions monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS067,Unsecured Dev Cache,Cache stores sensitive data in plaintext,Cybersecurity,Data Protection,Technology,Engineering,CacheSecure Program,CS-2025,Execution,Monitoring,App Security Lead,Engineering Team,2025-09-24,3,4,12,PII found in Redis cache,Data leakage risk,Encrypt cache contents and enforce TTL,Purge sensitive entries and rotate keys,Open,2025-10-01,Cache Logs,Cache Policy,https://cachesecure/docs/cs067,Mask sensitive data before caching,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS068,Unsecured Dev Notification,Push notifications leak internal data,Cybersecurity,Application Security,Technology,Engineering,NotifyGuard Program,NG-2025,Execution,Monitoring,App Security Lead,Engineering Team,2025-09-24,3,3,9,Notifications contain internal URLs and content,Exposure of system architecture,Sanitize notification payloads and restrict access,Disable push service and notify users,Open,2025-10-01,Notification Logs,Notification Policy,https://notifyguard/docs/cs068,Audit notification templates monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS069,Unsecured Dev Scheduler,Scheduled jobs run without auth checks,Cybersecurity,Application Security,Technology,Engineering,JobSecure Program,JS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Cron jobs triggered without validation,Unauthorized execution risk,Enforce job authentication and logging,Disable unverified jobs and audit schedule,Open,2025-10-01,Job Logs,Job Scheduling Policy,https://jobsecure/docs/cs069,Review scheduled tasks monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS070,Unsecured Dev CDN,CDN exposes internal assets publicly,Cybersecurity,Network Security,Technology,Engineering,CDNGuard Program,CG-2025,Execution,Monitoring,Network Engineer,Engineering Team,2025-09-24,3,4,12,Internal files cached on public CDN,Exposure of sensitive assets,Restrict CDN caching rules and purge assets,Disable public access and notify stakeholders,Open,2025-10-01,CDN Logs,CDN Access Policy,https://cdnguard/docs/cs070,Audit CDN rules quarterly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS071,Unsecured Dev Backup,Backups stored without encryption or access controls,Cybersecurity,Data Protection,Technology,Engineering,BackupGuard Program,BG-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Backups accessible via public links,Data recovery and leakage risk,Encrypt backups and restrict access,Re-encrypt and rotate backup keys,Open,2025-10-01,Backup Logs,Backup Policy,https://backupguard/docs/cs071,Audit backup storage monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS072,Unsecured Dev Metrics,Monitoring metrics expose internal architecture,Cybersecurity,Monitoring Failure,Technology,Engineering,MetricSecure Program,MS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Prometheus metrics show internal IPs,Exposure of infrastructure layout,Restrict metric endpoints and sanitize labels,Disable public metrics and notify team,Open,2025-10-01,Monitoring Logs,Metrics Policy,https://metricsecure/docs/cs072,Audit metric exposure monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS073,Unsecured Dev Notification Queue,Message queue lacks access controls,Cybersecurity,Application Security,Technology,Engineering,QueueGuard Program,QG-2025,Execution,Monitoring,App Security Lead,Engineering Team,2025-09-24,3,4,12,Queue accessible without authentication,Unauthorized message injection risk,Enforce queue authentication and ACLs,Purge queue and rotate credentials,Open,2025-10-01,Queue Logs,Queue Access Policy,https://queueguard/docs/cs073,Audit message queues monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS074,Unsecured Dev Secrets in Logs,Secrets printed in debug logs,Cybersecurity,Monitoring Failure,Technology,Engineering,LogSanitize Initiative,LS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,4,4,16,API keys and passwords found in logs,Credential leakage risk,Sanitize logs and use structured logging,Remove logs and rotate secrets,Open,2025-10-01,Log Files,Logging Policy,https://logsanitize/docs/cs074,Train devs on secure logging,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS075,Unsecured Dev Build Cache,Build cache contains sensitive artifacts,Cybersecurity,DevSecOps,Technology,Engineering,BuildCacheSecure Program,BCS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Secrets cached during build process,Unauthorized access to credentials,Clear cache after builds and restrict access,Purge cache and rotate secrets,Open,2025-10-01,Build Logs,Build Cache Policy,https://buildcachesecure/docs/cs075,Audit build cache usage monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS076,Unsecured Dev Test Portal,Test portal accessible without login,Cybersecurity,Application Security,Technology,Engineering,TestPortalGuard Program,TPG-2025,Execution,Monitoring,QA Lead,Engineering Team,2025-09-24,3,4,12,Test portal exposed to public,Unauthorized access to staging data,Restrict portal access and enforce auth,Disable public access and notify QA,Open,2025-10-01,Portal Logs,Access Control Policy,https://testportalguard/docs/cs076,Audit test portal exposure monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS077,Unsecured Dev Notification Tokens,Push tokens stored in plaintext,Cybersecurity,Application Security,Technology,Engineering,TokenSecure Program,TS-2025,Execution,Monitoring,App Security Lead,Engineering Team,2025-09-24,3,4,12,Tokens found in config files,Unauthorized push access risk,Use secret vaults and token rotation,Remove tokens and audit usage,Open,2025-10-01,Token Logs,Secrets Management Policy,https://tokensecure/docs/cs077,Scan configs for tokens monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS078,Unsecured Dev Feature Flags,Feature flags expose internal logic,Cybersecurity,Application Security,Technology,Engineering,FlagSecure Program,FS-2025,Execution,Monitoring,App Security Lead,Engineering Team,2025-09-24,3,3,9,Flags reveal internal feature rollout plans,Exposure of roadmap and logic,Restrict flag visibility and sanitize configs,Disable exposed flags and notify team,Open,2025-10-01,Feature Logs,Feature Flag Policy,https://flagsecure/docs/cs078,Audit feature flags monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS079,Unsecured Dev Webhooks,Webhooks lack signature validation,Cybersecurity,Application Security,Technology,Engineering,WebhookGuard Program,WG-2025,Execution,Monitoring,App Security Lead,Engineering Team,2025-09-24,3,4,12,Webhook endpoints triggered without verification,Unauthorized data injection risk,Enforce webhook signature validation and ACLs,Disable unverified endpoints and rotate keys,Open,2025-10-01,Webhook Logs,Webhook Policy,https://webhookguard/docs/cs079,Audit webhook configs monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS080,Unsecured Dev CI Secrets,Secrets exposed in CI logs,Cybersecurity,DevSecOps,Technology,Engineering,CILogSecure Program,CLS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,4,4,16,Secrets printed during CI job execution,Credential leakage risk,Mask secrets in CI logs and use vaults,Purge logs and rotate credentials,Open,2025-10-01,CI Logs,CI Logging Policy,https://cilogsecure/docs/cs080,Train devs on CI security,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS081,Unsecured Dev CI Artifacts,Build artifacts stored without access controls,Cybersecurity,DevSecOps,Technology,Engineering,ArtifactSecure Program,AS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Artifacts accessible via public URLs,Exposure of compiled code and configs,Restrict artifact storage and enforce ACLs,Purge public artifacts and notify team,Open,2025-10-01,Artifact Logs,Artifact Storage Policy,https://artifactsecure/docs/cs081,Audit artifact access monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS082,Unsecured Dev CI Environment,CI environment lacks network segmentation,Cybersecurity,DevSecOps,Technology,Engineering,CIEnvSecure Program,CIES-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,CI jobs run in flat network,Lateral movement risk,Segment CI network and enforce firewall rules,Isolate CI nodes and monitor traffic,Open,2025-10-01,CI Logs,Network Segmentation Policy,https://cienvsecure/docs/cs082,Audit CI network architecture quarterly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS083,Unsecured Dev CI Access,CI tools accessible without authentication,Cybersecurity,DevSecOps,Technology,Engineering,CIAccessGuard Program,CAG-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Jenkins dashboard open to public,Unauthorized job execution risk,Enforce CI authentication and RBAC,Restrict access and notify team,Open,2025-10-01,CI Logs,CI Access Policy,https://ciaccessguard/docs/cs083,Audit CI tool access monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS084,Unsecured Dev CI Secrets Rotation,Secrets reused across CI jobs,Cybersecurity,DevSecOps,Technology,Engineering,CIRotation Program,CIR-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Same token used across multiple jobs,Credential reuse risk,Rotate secrets per job and enforce TTL,Revoke reused tokens and audit logs,Open,2025-10-01,CI Logs,Secrets Rotation Policy,https://cirotation/docs/cs084,Automate secret rotation in CI/CD,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS085,Unsecured Dev CI Plugin,Third-party plugin introduces vulnerabilities,Cybersecurity,DevSecOps,Technology,Engineering,PluginGuard Program,PG-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Plugin lacks security updates,Known CVEs detected,Use vetted plugins and monitor updates,Remove vulnerable plugin and patch CI,Open,2025-10-01,Plugin Logs,Plugin Policy,https://pluginguard/docs/cs085,Review plugin usage quarterly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS086,Unsecured Dev CI Notification,CI notifications leak internal data,Cybersecurity,DevSecOps,Technology,Engineering,CINotifySecure Program,CNS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Slack messages contain sensitive build info,Exposure of internal logic,Sanitize notification content and restrict channels,Disable insecure notifications and notify team,Open,2025-10-01,Notification Logs,Notification Policy,https://cinotifysecure/docs/cs086,Audit CI notification templates monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS087,Unsecured Dev CI Audit Trail,CI lacks logging of job execution,Cybersecurity,DevSecOps,Technology,Engineering,CIAudit Program,CIA-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,No logs for job triggers and changes,No accountability for builds,Enable CI audit logging and retention,Configure logging and notify team,Open,2025-10-01,Audit Logs,CI Logging Policy,https://ciaudit/docs/cs087,Review CI audit logs monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS088,Unsecured Dev CI Role Access,All users have admin access in CI tool,Cybersecurity,DevSecOps,Technology,Engineering,CIRoleSecure Program,CIRS-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,4,12,No role separation in CI dashboard,Privilege escalation risk,Implement RBAC and restrict admin roles,Reassign roles and audit access,Open,2025-10-01,Access Logs,RBAC Policy,https://cirolesecure/docs/cs088,Audit CI roles monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS089,Unsecured Dev CI Artifact Retention,Artifacts retained beyond retention policy,Cybersecurity,DevSecOps,Technology,Engineering,ArtifactRetention Program,ARP-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Old artifacts stored indefinitely,Storage and exposure risk,Enforce retention limits and purge schedule,Purge outdated artifacts and notify team,Open,2025-10-01,Artifact Logs,Retention Policy,https://artifactretention/docs/cs089,Review artifact retention monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS090,Unsecured Dev CI Job Trigger,Jobs triggered via unauthenticated webhook,Cybersecurity,DevSecOps,Technology,Engineering,CITriggerSecure Program,CTS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Webhook triggers CI job without validation,Unauthorized code execution risk,Enforce webhook auth and signature validation,Disable insecure triggers and rotate keys,Open,2025-10-01,Webhook Logs,Trigger Policy,https://citriggersecure/docs/cs090,Audit CI job triggers monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS091,Unsecured Dev CI Log Retention,Logs retained beyond policy limits,Cybersecurity,Monitoring Failure,Technology,Engineering,CILogRetention Program,CLR-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Old logs contain sensitive data,Storage and exposure risk,Enforce log retention limits and purge schedule,Purge outdated logs and notify team,Open,2025-10-01,Log Files,Retention Policy,https://cilogretention/docs/cs091,Review log retention monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS092,Unsecured Dev CI Notification Channel,Notifications sent to public channels,Cybersecurity,DevSecOps,Technology,Engineering,CINotifyChannel Program,CNC-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Build alerts posted in public Slack,Exposure of internal activity,Restrict notification channels and sanitize content,Disable public notifications and notify team,Open,2025-10-01,Notification Logs,Notification Policy,https://cinotifychannel/docs/cs092,Audit notification destinations monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS093,Unsecured Dev CI Job History,Job history accessible without authentication,Cybersecurity,DevSecOps,Technology,Engineering,CIHistorySecure Program,CHS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Job logs and history exposed publicly,Unauthorized access to build data,Restrict job history access and enforce auth,Purge public logs and notify team,Open,2025-10-01,CI Logs,Access Control Policy,https://cihistorysecure/docs/cs093,Audit job history access monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS094,Unsecured Dev CI Job Parameters,Sensitive parameters passed in plaintext,Cybersecurity,DevSecOps,Technology,Engineering,CIParamSecure Program,CPS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Secrets passed via command-line args,Credential leakage risk,Use environment variables and secret vaults,Sanitize job configs and rotate secrets,Open,2025-10-01,CI Logs,Parameter Policy,https://ciparamsecure/docs/cs094,Train devs on secure job configs,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS095,Unsecured Dev CI Job Scheduling,Jobs scheduled without approval,Cybersecurity,Change Management,Technology,Engineering,CIScheduleGuard Program,CSG-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Jobs added without change request,No oversight of build triggers,Implement job scheduling approval workflow,Review job schedules and notify team,Open,2025-10-01,Schedule Logs,Change Control Policy,https://cischeduleguard/docs/cs095,Audit job schedules monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS096,Unsecured Dev CI Job Output,Output contains sensitive data,Cybersecurity,Monitoring Failure,Technology,Engineering,CIOutputSecure Program,COS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Build logs include secrets and PII,Exposure of internal data,Sanitize output and mask sensitive fields,Purge logs and rotate credentials,Open,2025-10-01,Output Logs,Logging Policy,https://cioutputsecure/docs/cs096,Review job output templates monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS097,Unsecured Dev CI Job Retry,Jobs retried without validation,Cybersecurity,Change Management,Technology,Engineering,CIRetrySecure Program,CRS-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Failed jobs retried without review,Potential for repeated errors,Implement retry approval and validation steps,Restrict retries and notify team,Open,2025-10-01,Retry Logs,Change Control Policy,https://ciretrysecure/docs/cs097,Audit retry logic monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS098,Unsecured Dev CI Job Cleanup,Artifacts and logs not purged post-build,Cybersecurity,DevSecOps,Technology,Engineering,CICleanup Program,CCP-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Old artifacts and logs retained indefinitely,Storage and exposure risk,Automate cleanup post-build and enforce retention,Purge residual data and notify team,Open,2025-10-01,Cleanup Logs,Retention Policy,https://cicleanup/docs/cs098,Review cleanup scripts monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS099,Unsecured Dev CI Job Approval,Jobs executed without stakeholder approval,Cybersecurity,Governance Risk,Technology,Engineering,CIApproval Program,CIA-2025,Execution,Controlling,DevOps Lead,Engineering Team,2025-09-24,3,3,9,No approval workflow for job execution,Uncontrolled code deployment risk,Implement stakeholder approval for critical jobs,Restrict job execution and notify stakeholders,Open,2025-10-01,Approval Logs,Governance Policy,https://ciapproval/docs/cs099,Audit approval workflows monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS100,Unsecured Dev CI Job Audit,Audit trail missing for job changes,Cybersecurity,Monitoring Failure,Technology,Engineering,CIAuditTrail Program,CAT-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,No logs for job config changes,No accountability for modifications,Enable audit logging and change tracking,Configure audit trail and notify team,Open,2025-10-01,Audit Logs,Audit Trail Policy,https://ciaudittrail/docs/cs100,Review audit trail monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS101,Unsecured Dev CI Job Logs,Logs accessible without authentication,Cybersecurity,Monitoring Failure,Technology,Engineering,CILogAccess Program,CLA-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Logs exposed via public URLs,Unauthorized access to build history,Restrict log access and enforce authentication,Purge public logs and notify team,Open,2025-10-01,Log Files,Access Control Policy,https://cilogaccess/docs/cs101,Audit log access monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS102,Unsecured Dev CI Job Variables,Environment variables exposed in logs,Cybersecurity,Monitoring Failure,Technology,Engineering,CIVarSecure Program,CVS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Secrets printed from env vars,Credential leakage risk,Mask sensitive variables and sanitize logs,Remove logs and rotate credentials,Open,2025-10-01,CI Logs,Environment Variable Policy,https://civarsecure/docs/cs102,Train devs on secure variable handling,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS103,Unsecured Dev CI Job Configs,Configs stored without access controls,Cybersecurity,DevSecOps,Technology,Engineering,CIConfigSecure Program,CCS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,4,12,Config files contain secrets and tokens,Unauthorized access risk,Restrict config access and use secret vaults,Sanitize configs and rotate credentials,Open,2025-10-01,Config Logs,Config Access Policy,https://ciconfigsecure/docs/cs103,Audit config files monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"CS104,Unsecured Dev CI Job Metadata,Metadata reveals internal architecture,Cybersecurity,Monitoring Failure,Technology,Engineering,CIMetadataSecure Program,CMS-2025,Execution,Monitoring,DevOps Lead,Engineering Team,2025-09-24,3,3,9,Metadata includes internal IPs and paths,Exposure of infrastructure layout,Sanitize metadata and restrict access,Purge sensitive metadata and notify team,Open,2025-10-01,Metadata Logs,Metadata Policy,https://cimetadatasecure/docs/cs104,Review metadata exposure monthly,Internal Audit,Verified,Identification,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
